date,x_i,S
2014-06-09,1.97303120003905,E
2014-06-10,-1.3061132220067302,E
2014-06-11,-3.931643673267649,E
2014-06-12,-5.94756791841712,E
2014-06-13,-7.445550316036935,E
2014-06-14,-8.51542807792799,E
2014-06-15,-9.228431524289437,E
2014-06-16,-9.63718316480417,E
2014-06-17,-9.782013335040991,E
2014-06-18,-9.698286800955717,E
2014-06-19,-9.422188928783966,E
2014-06-20,-8.993798710044002,E
2014-06-21,-8.457197765613206,E
2014-06-22,-7.85816123811547,E
2014-06-23,-7.240564754123504,E
2014-06-24,-6.642821499196028,E
2014-06-25,-6.095381957314455,E
2014-06-26,-5.619763457296325,E
2014-06-27,-5.229013800416806,E
2014-06-28,-4.9291635166976615,E
2014-06-29,-4.721131317863714,E
2014-06-30,-4.6026398736908885,E
